tail_number,model_name,delivery_location ,army_command,unit_name ,current_location,contract_number,delivery_date,Remark ,active_status,warranty_period,formation
JF-2(127),JF-2,Agra,Central Command ,KUMAON SCOUTS,"DHarchula , Pithoragarh",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(128),JF-2,Agra,Central Command ,KUMAON SCOUTS,"DHarchula , Pithoragarh",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(129),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(130),JF-2,Agra,Central Command ,12 JAK RIF,"Charna , Pithoragarh",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(131),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(132),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(133),JF-2,Agra,Central Command ,26 RAJPUT,"BANBASA, UK ",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(134),JF-2,Agra,Central Command ,26 RAJPUT,"BANBASA, UK ",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(135),JF-2,Agra,Central Command ,12 KUMAON,Pithoragarh,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(136),JF-2,Agra,Central Command ,12 KUMAON,Pithoragarh,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(137),JF-2,Agra,Central Command ,2 PARA (SF),"Jammu, NAGROTA",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(138),JF-2,Agra,Central Command ,2 PARA (SF),"Jammu, NAGROTA",GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(139),JF-2,Agra,Central Command ,14 RAJRIF,,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(140),JF-2,Agra,Central Command ,14 RAJRIF,,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(141),JF-2,Agra,Central Command ,7 ASSAM,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(142),JF-2,Agra,Central Command ,7 ASSAM,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(143),JF-2,Agra,Central Command ,6 GR,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
